loss,backbone,split,n_genuine,n_impostor,auc,auc_ci95_low,auc_ci95_high,eer,eer_ci95_low,eer_ci95_high,d_prime,decidability,accuracy_at_eer,precision_at_eer,recall_at_eer,f1_at_eer,frr_at_far_1pct,gar_at_far_1pct,frr_at_far_0.1pct,gar_at_far_0.1pct,frr_at_far_0.01pct,gar_at_far_0.01pct,far_0.01pct_valid
contrastive,efficientnet_b1,iam_to_iam,479,479,0.9875349218317564,0.9809919543586368,0.9926015838494427,0.04592901878914403,0.03442066805845509,0.06263048016701464,3.41494604173639,3.41494604173639,0.954070981210856,0.954070981210856,0.954070981210856,0.954070981210856,0.1899791231732777,0.8100208768267223,0.4279749478079332,0.5720250521920668,,,False
contrastive,efficientnet_b1,iam_to_rimes,6429,6429,0.7723321357394377,0.7642694132864137,0.7802388584560825,0.29561362575828276,0.2879919116503344,0.3036280914605693,0.9263109828977059,0.9263109828977059,0.7043863742417172,0.7044181705040448,0.704308601648779,0.7043633818153535,0.8414994555918495,0.15850054440815056,0.9544252605381863,0.04557473946181366,,,False
contrastive,efficientnet_b1,rimes_to_iam,3844,3844,0.9538831886335016,0.9496630084751727,0.9583662248882268,0.1190166493236212,0.11146917273673256,0.12669094693028093,2.2115931768154864,2.2115931768154864,0.8809833506763788,0.8810824876398647,0.880853277835588,0.880967867828802,0.6004162330905307,0.3995837669094693,0.8818938605619147,0.11810613943808533,,,False
contrastive,efficientnet_b1,rimes_to_rimes,1527,1527,0.9320109669691461,0.9223093464120401,0.9408813910192823,0.12737393582187295,0.11525867714472823,0.13883431565160442,2.119666787267159,2.119666787267159,0.872626064178127,0.8723821989528796,0.8729535036018337,0.8726677577741406,0.4963981663392273,0.5036018336607727,0.7066142763588736,0.2933857236411264,,,False
contrastive,mobilenet_v3_large,iam_to_iam,479,479,0.9953975095994176,0.9924059997995128,0.9975463190972843,0.03131524008350729,0.02293841336116909,0.04488517745302713,4.171890406906942,4.171890406906942,0.9686847599164927,0.9686847599164927,0.9686847599164927,0.9686847599164927,0.12526096033402923,0.8747390396659708,0.2755741127348643,0.7244258872651357,,,False
contrastive,mobilenet_v3_large,iam_to_rimes,6429,6429,0.696493708113761,0.687177881259239,0.7048811792284827,0.352932026753772,0.3453861409239384,0.36117786592004975,0.5844636349261493,0.5844636349261493,0.647067973246228,0.647067973246228,0.647067973246228,0.647067973246228,0.9040286203142013,0.09597137968579872,0.9810234873230673,0.01897651267693265,,,False
contrastive,mobilenet_v3_large,rimes_to_iam,3844,3844,0.9652491659637408,0.9615222593070433,0.9690326817148716,0.09755463059313217,0.09026729968782518,0.10418834547346514,1.8880180742280117,1.8880180742280117,0.9024453694068678,0.9024453694068678,0.9024453694068678,0.9024453694068678,0.5785639958376692,0.4214360041623309,0.8327263267429761,0.16727367325702394,,,False
contrastive,mobilenet_v3_large,rimes_to_rimes,1527,1527,0.925097213269638,0.9149017102759368,0.9342947765370676,0.13326784544859205,0.12115258677144727,0.14603798297314996,2.074428217232214,2.074428217232214,0.866732154551408,0.8664921465968587,0.8670595939751146,0.8667757774140752,0.4420432220039293,0.5579567779960707,0.6994106090373281,0.3005893909626719,,,False
contrastive,mobilenet_v3_small,iam_to_iam,479,479,0.9919848675694405,0.988675737989287,0.9949706024642502,0.05427974947807933,0.03757828810020879,0.06784968684759918,3.6146779480897395,3.6146779480897395,0.9457202505219207,0.9475890985324947,0.9436325678496869,0.9456066945606695,0.13361169102296455,0.8663883089770354,0.24217118997912312,0.7578288100208769,,,False
contrastive,mobilenet_v3_small,iam_to_rimes,6429,6429,0.7018065113213258,0.6937104125223335,0.7105907415145553,0.35083216674443923,0.3428196453569762,0.3589982890029554,0.6247729761705364,0.6247729761705364,0.6491678332555607,0.6491910392034848,0.6490900606626225,0.6491405460060669,0.89298491211697,0.10701508788303002,0.9847565717841033,0.015243428215896719,,,False
contrastive,mobilenet_v3_small,rimes_to_iam,3844,3844,0.9388515867533063,0.9340622685488473,0.9439128067675233,0.13969823100936526,0.13163046305931325,0.1472424557752341,2.0525389695930167,2.0525389695930167,0.8603017689906347,0.8603017689906347,0.8603017689906347,0.8603017689906347,0.6173257023933403,0.3826742976066597,0.8472944849115505,0.15270551508844954,,,False
contrastive,mobilenet_v3_small,rimes_to_rimes,1527,1527,0.9164452644368192,0.9056329873668851,0.9261882920356524,0.14505566470203013,0.13195808775376552,0.1575065487884741,1.9625548522896104,1.9625548522896104,0.8549443352979699,0.8547120418848168,0.8552717747216765,0.8549918166939442,0.5173542894564506,0.48264571054354943,0.8028814669286182,0.1971185330713818,,,False
contrastive,resnet18,iam_to_iam,479,479,0.9900889553305643,0.9853509181009495,0.9942775048923254,0.052192066805845524,0.036534446764091885,0.06680584551148226,3.6203017718483355,3.6203017718483355,0.9478079331941545,0.9478079331941545,0.9478079331941545,0.9478079331941545,0.2588726513569938,0.7411273486430062,0.44258872651356995,0.55741127348643,,,False
contrastive,resnet18,iam_to_rimes,6429,6429,0.7640630425194825,0.7555946236117398,0.7722223507544667,0.3041686109814901,0.2955319645356977,0.31225890496189146,0.8808449773544645,0.8808449773544645,0.6958313890185098,0.695800933125972,0.6959091616114481,0.6958550431604323,0.8803857520609737,0.11961424793902628,0.9793124902784259,0.020687509721574116,,,False
contrastive,resnet18,rimes_to_iam,3844,3844,0.94336319233672,0.9379278800915192,0.9481955675615391,0.13384495317377731,0.1251300728407908,0.14165257544224766,2.056285919202941,2.056285919202941,0.8661550468262227,0.8662503252667187,0.8660249739854319,0.866137634968128,0.6605098855359002,0.3394901144640999,0.9203954214360042,0.07960457856399583,,,False
contrastive,resnet18,rimes_to_rimes,1527,1527,0.9340124860135977,0.9235045860818304,0.9430906100151433,0.11525867714472823,0.10476424361493127,0.12836444007858544,2.2606149904361446,2.2606149904361446,0.8847413228552717,0.8847413228552717,0.8847413228552717,0.8847413228552717,0.46103470857891293,0.5389652914210871,0.885396201702685,0.114603798297315,,,False
contrastive,resnet34,iam_to_iam,479,479,0.9850593398738674,0.9794145335837972,0.9899907819439419,0.06889352818371608,0.050104384133611714,0.08246346555323592,3.11737911272913,3.11737911272913,0.9311064718162839,0.9311064718162839,0.9311064718162839,0.9311064718162839,0.22338204592901878,0.7766179540709812,0.267223382045929,0.732776617954071,,,False
contrastive,resnet34,iam_to_rimes,6429,6429,0.735882943694941,0.727509166556764,0.7449236973320528,0.32190076217141084,0.31279748016798886,0.3292113859076061,0.7447821086819771,0.7447821086819771,0.6780992378285892,0.6780715396578538,0.6781770104215274,0.6781242709386422,0.8181676777103748,0.18183232228962515,0.9626691553896407,0.03733084461035931,,,False
contrastive,resnet34,rimes_to_iam,3844,3844,0.9319232792215877,0.9262111062241681,0.9374973691042219,0.12851196670135273,0.1197970863683663,0.1363163371488033,2.2006614781718867,2.2006614781718867,0.8714880332986472,0.8716814159292036,0.8712278876170656,0.8714545927660683,0.787200832466181,0.21279916753381894,0.9347034339229969,0.06529656607700313,,,False
contrastive,resnet34,rimes_to_rimes,1527,1527,0.9309756837093845,0.9208911498720478,0.9406083425646806,0.11722331368696792,0.1047806155861166,0.12835625409299278,2.2396108014465947,2.2396108014465947,0.8827766863130321,0.882275997383911,0.8834315651604453,0.8828534031413613,0.527177472167649,0.472822527832351,0.925343811394892,0.07465618860510806,,,False
triplet,efficientnet_b0,iam_to_iam,479,479,0.924712671231384,0.9092447513739915,0.9397466015228316,0.16388308977035493,0.13984864300626304,0.18687369519832986,1.7735410586191722,1.7735410586191722,0.8361169102296451,0.8354166666666667,0.837160751565762,0.8362877997914494,0.6534446764091858,0.3465553235908142,0.7766179540709812,0.22338204592901878,,,False
triplet,efficientnet_b0,iam_to_rimes,6429,6429,0.6830605824667599,0.6743236757289581,0.691908370493971,0.3667755482967802,0.35860748172344065,0.3754083061129258,0.6003310958666699,0.6003310958666699,0.6332244517032198,0.6333073929961089,0.6329133613314668,0.6331103158549868,0.9181832322289625,0.08181676777103748,0.9870897495722507,0.012910250427749261,,,False
triplet,efficientnet_b0,rimes_to_iam,3844,3844,0.9049761388750228,0.8983962989877871,0.9118043065615183,0.16558272632674298,0.15660770031217486,0.17403746097814776,1.5005945380944374,1.5005945380944374,0.834417273673257,0.834504293520687,0.8342872008324662,0.8343957330558085,0.7167013527575442,0.2832986472424558,0.9505723204994797,0.049427679500520294,,,False
triplet,efficientnet_b0,rimes_to_rimes,1527,1527,0.8914123382262689,0.8801500517427198,0.902312297012217,0.18533071381794367,0.1715782580222659,0.1994106090373281,1.7611708636142094,1.7611708636142094,0.8146692861820564,0.8142576847612819,0.8153241650294696,0.8147905759162305,0.8231827111984282,0.17681728880157171,0.9443352979698756,0.05566470203012443,,,False
triplet,efficientnet_b1,iam_to_iam,479,479,0.9463827302007923,0.9317643751552688,0.9595315353402399,0.12212943632567852,0.10229645093945719,0.1524008350730689,2.079166411587868,2.079166411587868,0.8778705636743215,0.8770833333333333,0.8789144050104384,0.8779979144942648,0.5866388308977035,0.4133611691022965,0.791231732776618,0.20876826722338204,,,False
triplet,efficientnet_b1,iam_to_rimes,6429,6429,0.7383484643306146,0.7293509196049622,0.7461639965952807,0.3251672110748173,0.3177788147456836,0.33357248405661843,0.8734971499451333,0.8734971499451333,0.6748327889251827,0.674805598755832,0.674910561518121,0.6748580760556808,0.9086949758904962,0.09130502410950381,0.9830455747394619,0.016954425260538187,,,False
triplet,efficientnet_b1,rimes_to_iam,3844,3844,0.9442868989985068,0.9395295745169846,0.9490811236966998,0.127471383975026,0.11979708636836627,0.13449531737773154,1.8869192635104342,1.8869192635104342,0.872528616024974,0.872528616024974,0.872528616024974,0.8725286160249741,0.6006763787721123,0.3993236212278876,0.831945889698231,0.16805411030176898,,,False
triplet,efficientnet_b1,rimes_to_rimes,1527,1527,0.8948267573118488,0.8834505746594051,0.9057439779665647,0.18140144073346431,0.168958742632613,0.19548133595284875,1.6271186145698084,1.6271186145698084,0.8185985592665357,0.8185985592665357,0.8185985592665357,0.8185985592665357,0.8369351669941061,0.16306483300589392,0.9351669941060904,0.06483300589390963,,,False
triplet,mobilenet_v3_large,iam_to_iam,479,479,0.8714789422988916,0.8487854176019107,0.8924356370483043,0.21503131524008348,0.1910229645093946,0.2432150313152401,1.5049389366720547,1.5049389366720547,0.7849686847599165,0.7849686847599165,0.7849686847599165,0.7849686847599167,0.7390396659707724,0.2609603340292276,0.8434237995824635,0.15657620041753653,,,False
